STMXBTC;1 STMX;0,0000013700;1 ETH IS 0,00000137 BTC;1 ;0,00000137;
PNTBTC;1 PNT;0,0476300000;1 ETH IS 0,04763 BTC;1 ;0,04763;TRUE
DGBBTC;1 DGB;0,0000013500;1 ETH IS 0,00000135 BTC;1 ;0,00000135;
COMPBTC;0.001 COMP;0,0080480000;1 ETH IS 0,008048 BTC;0,00100;0,000008048;
SXPBTC;1 SXP;0,0000623000;1 ETH IS 0,0000623 BTC;1 ;0,0000623;
SNXBTC;0.01 SNX;0,0003597000;1 ETH IS 0,0003597 BTC;0,01000;0,000003597;
IRISBTC;1 IRIS;0,0000036600;1 ETH IS 0,00000366 BTC;1 ;0,00000366;
MKRBTC;0.001 MKR;0,0421670000;1 ETH IS 0,042167 BTC;0,00100;0,000042167;
RUNEBTC;0.1 RUNE;0,0001443700;1 ETH IS 0,00014437 BTC;0,10000;0,000014437;
FIOBTC;1 FIO;0,0000054200;1 ETH IS 0,00000542 BTC;1 ;0,00000542;
AVABTC;0.01 AVA;0,0000933000;1 ETH IS 0,0000933 BTC;0,01000;0,000000933;
BALBTC;0.01 BAL;0,0010060000;1 ETH IS 0,001006 BTC;0,01000;0,00001006;
YFIBTC;0.0001 YFI;0,6706800000;1 ETH IS 0,67068 BTC;0,00010;0,000067068;
JSTBTC;1 JST;0,0000021000;1 ETH IS 0,0000021 BTC;1 ;0,0000021;
SRMBTC;1 SRM;0,0000978000;1 ETH IS 0,0000978 BTC;1 ;0,0000978;
ANTBTC;0.01 ANT;0,0001992000;1 ETH IS 0,0001992 BTC;0,01000;0,000001992;
CRVBTC;0.01 CRV;0,0000569000;1 ETH IS 0,0000569 BTC;0,01000;0,000000569;
SANDBTC;1 SAND;0,0131200000;1 ETH IS 0,01312 BTC;1 ;0,01312;TRUE
OCEANBTC;1 OCEAN;0,0245400000;1 ETH IS 0,02454 BTC;1 ;0,02454;TRUE
NMRBTC;0.001 NMR;0,0009300000;1 ETH IS 0,00093 BTC;0,00100;0,00000093;
DOTBTC;0.1 DOT;0,0006674200;1 ETH IS 0,00066742 BTC;0,10000;0,000066742;
LUNABTC;0.1 LUNA;0,0003141700;1 ETH IS 0,00031417 BTC;0,10000;0,000031417;
IDEXBTC;1 IDEX;0,0000025100;1 ETH IS 0,00000251 BTC;1 ;0,00000251;
RSRBTC;1 RSR;0,0000014900;1 ETH IS 0,00000149 BTC;1 ;0,00000149;
